The E-1
Earnest E-1
money E-1
shall E-1
be E-1
paid E-1
on None
or None
before None
___________________ T-1
. None

Before None
Closing T-1
as T-1
defined T-1
herein T-1
, None
the E-2
Buyer E-2
shall E-2
pay E-2
the E-2
balance E-2
on E-2
the E-2
Purchase E-2
Price E-2
after None
applying E-1
the E-1
Earnest E-1
Money E-1

credit E-1
all E-1
other E-1
applicable E-1
amounts E-1
in E-1
the E-1
amount E-1
of E-1
$ E-1
_________ E-1
before None
the T-1
Closing T-1
Date T-1
. None

The E-2
Buyer E-2
must E-2
present E-2
to E-2
the E-2
Seller E-2
a E-2
binding E-2
commitment E-2
for E-2
financing E-2
the E-2
purchase E-2
of E-2
the E-2
Property E-2
within None
_____ T-1
days T-1
from None
the E-1
Effective E-1
date E-1

In None
the None
event None
that None
the E-1
Buyer E-1
is E-1
not E-1
able E-1
to E-1
sell E-1
or E-1
close E-1
the E-1
sale E-1
on E-1
the E-1
Buyer E-1
's E-1
Property E-1
within None
the T-1
time T-1
allowed T-1
, None
this E-2
Agreement E-2
shall E-2
automatically E-2
terminated E-2
. None

Before None
Closing T-1
, None
the E-1
seller E-1
shall E-1
convey E-1
and E-1
deliver E-1
the E-1
title E-1
to E-1
the E-1
Buyer E-1
from E-1
any E-1
and E-1
all E-1
encumbrances E-1
. None

Within None
______ T-1
days T-1
of None
the E-1
Effective E-1
date E-1
, None
the E-2
Seller E-2
must E-2
deliver E-2
to E-2
the E-2
Buyer E-2
a E-2
true E-2
and E-2
authentic E-2
Title E-2
Search E-2
Report E-2
. None

Within None
______ T-1
days T-1
from None
the E-1
receipt E-1
of E-1
the E-1
Title E-1
Search E-1
Report E-1
, None
the E-2
Buyer E-2
must E-2
notify E-2
the E-2
Seller E-2
of E-2
any E-2
matter E-2
contained E-2
therein E-2
that E-2
the E-2
Buyer E-2
finds E-2
unacceptable E-2
. None

The E-2
Buyer E-2
shall E-2
have E-2
the E-2
right E-2
to E-2
conduct E-2
a E-2
survey E-2
of E-2
the E-2
Property E-2
to E-2
ascertain E-2
if E-2
there E-2
are E-2
any E-2
problems E-2
with E-2
the E-2
boundary E-2
lines E-2
of E-2
the E-2
Property E-2
within None
_______ T-1
days T-1
of None
the E-1
Effective E-1
Date E-1
. None

If None
the E-2
Parties E-2
are E-2
unable E-2
come E-2
to E-2
an E-2
agreement E-2
within None
______ T-1
days T-1
from None
the E-1
day E-1
both E-1
Parties E-1
receive E-1
the E-1
appraisal E-1
value E-1
, None
the E-3
Buyer E-3
may E-3
, E-3
in E-3
the E-3
Buyer E-3
's E-3
sole E-3
discretion E-3
, E-3
accept E-3
the E-3
Purchase E-3
Price E-3
as E-3
it E-3
is E-3
and E-3
proceed E-3
with E-3
the E-3
purchase E-3
under E-3
this E-3
Agreement E-3
, E-3
or E-3
terminate E-3
this E-3
Agreement E-3
and E-3
recover E-3
the E-3
Earnest E-3
Money E-3
, E-3
costs E-3
incurred E-3
in E-3
relation E-3
to E-3
this E-3
Agreement E-3
and E-3
_____ E-3
. None

The E-1
Parties E-1
agree E-1
to E-1
deliver E-1
to E-1
the E-1
other E-1
Party E-1
all E-1
notices E-1
, E-1
certificates E-1
, E-1
releases E-1
and E-1
other E-1
documents E-1
necessary E-1
for E-1
the E-1
recording E-1
of E-1
the E-1
sale E-1
and/or E-1
transfer E-1
to E-1
the E-1
Property E-1
or E-1
title E-1
to E-1
the E-1
Seller E-1
before None
the T-1
Closing T-1
date T-1
. None

Before None
the T-1
Closing T-1
date T-1
, None
the E-1
Seller E-1
shall E-1
deliver E-1
to E-1
the E-1
Buyer E-1
the E-1
following E-1
: E-1
__ E-1
. None

Failure E-1
by E-1
either E-1
Party E-1
to E-1
close E-1
or E-1
otherwise E-1
perform E-1
all E-1
obligations E-1
that E-1
fall E-1
due E-1
or E-1
demandable E-1
on None
or None
before None
the T-1
Closing T-1
date T-1
shall E-2
allow E-2
the E-2
other E-2
Party E-2
to E-2
terminate E-2
this E-2
Agreement E-2
and E-2
recover E-2
all E-2
costs E-2
incurred E-2
or E-2
monies E-2
paid E-2
to E-2
the E-2
other E-2
Party E-2
by E-2
virtue E-2
thereof E-2
. None

If None
such E-1
financing E-1
can E-1
not E-1
be E-1
obtained E-1
within None
the T-1
time T-1
specified T-1
above T-1
then T-1
either T-1
, None
Purchaser E-2
or E-2
Seller E-2
may E-2
terminate E-2
this E-2
agreement E-2
and E-2
any E-2
earnest E-2
money E-2
deposited E-2
by E-2
Purchaser E-2
will E-2
be E-2
promptly E-2
refunded E-2
. None

purchaser E-1
shall E-1
pay E-1
any E-1
and E-1
all E-1
payments E-1
coming E-1
due E-1
after None
the T-1
closing T-1
of T-1
the T-1
sale T-1
. None

Prior None
to None
the T-1
closing T-1
of T-1
the T-1
sale T-1
the E-1
risk E-1
of E-1
loss E-1
by E-1
destruction E-1
or E-1
damage E-1
to E-1
the E-1
property E-1
by E-1
fire E-1
or E-1
otherwise E-1
is E-1
that E-1
of E-1
Seller E-1
. None

This E-2
offer E-2
is E-2
void E-2
if None
not E-1
accepted E-1
by E-1
Seller E-1
in E-1
writing E-1
on None
or None
before None
____ T-1
A.M./P.M.of T-1
the T-1
___ T-1
day T-1
of T-1
____ T-1
, T-1
20 T-1
___ T-1
. None

On None
or None
before None
the E-1
date E-1
